Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
X,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,45,25,,,,,,,,,,,,,,62,57,,,,,,,,,,41,47,,,2,,2,,2,
X,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,47.26368332,,44.77611923,,37.3134346,31.84079552,27.88461494,30.28846169,32.21154022,31.25,33.17307663,38.3886261,36.96682358,36.15023422,34.74178314,34.74178314,32.01970291,30.04926109,30.54187202,30.04926109,27.18446541,26.57004738,26.57004738,28.01932335,28.01932335,27.45098114,,
X,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,28.8913529,31.88122905,25.35639798,28.03595519,22.81817643,23.09277367,14.35479087,16.34763274,16.71043355,14.93295694,12.51575713,13.12478766,12.92941611,12.72180451,12.9485786,10.37080655,10.42982713,9.762589027,13.15280174,14.98295032,35.85746625,34.0541009,36.56802699,35.40773483,32.18052638,29.50359959,26.77745812,14.82154652,16.83548813,16.29578762,9.983812866,8.168922713,10.68349998,15.17021559,14.21741556,19.45531092,27.91783785,32.54522294,23.9055281,23.93811052,20.82030083,21.48418752,22.04889827,19.5597591,22.25700979,27.1626994,25.52041094,17.1766372,23.49514072,
X,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,63.58317875,58.17980936,67.1132389,62.00131613,67.93676349,70.52807379,70.7038219,61.60336439,66.00229863,73.77546229,79.78337027,81.34434938,81.20496837,80.32388664,80.58864289,83.56432077,83.18699167,83.41620157,81.62465523,79.5802104,43.5366483,37.76647753,37.02063561,38.19070731,44.21562598,46.2390635,52.65558032,67.34066838,65.13681659,70.82466086,77.59727462,81.29189093,78.75169442,72.22491697,75.35608466,69.73265504,59.18957266,54.90857906,62.3237938,62.89712787,64.06830471,57.20210861,62.31390322,63.57828279,67.39562094,64.56585636,63.53717448,67.81705662,65.56659993,
X,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.001397565,1.02E-15,0,0,0,0,0,0,0.00084659,0.007502692,2.27E-13,0.000171075,0.003706944,0.015522954,0.000692235,0.001250967,8.76E-14,0.003556001,0.00578609,0.013673916,0.012526551,0.011336658,0.002696941,0.001010171,0.003432631,0,-1.04E-14,0,0,0,0,0,0,0,2.53E-16,9.67E-16,-9.61E-16,0,0,0,0.001857076,0.017392546,0.009779607,0.018412971,,
X,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,,,,,,,,,4.876299749,2.994147509,4.766772292,5.678200329,3.985716248,2.108554101,1.057696572,0.739202365,1.475829106,1.141314773,0.177412376,0.198463102,1.272209347,0.721523043,0.871149223,0.662089759,1.191151446,0.543878155,0.451188349,1.132242913,1.237586868,1.149280496,0.834239904,0.548179717,0.479461289,0.640541288,0.534566478,0.391152986,0.425597807,0.366120799,0.45899518,0.454027405,0.376354132,0.465777161,0.439541666,0.620091522,1.058843128,0.955860595,0.848023552,1.17290747,1.242816307,1.241393735,1.172483166,1.258865088,1.025530567,1.121373481,1.41983486,1.437874122,1.170179364,1.137799344,1.294551147,1.555204919,,
X,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,,,,,,,,,,,,,70.18196486,68.99796294,60.88793485,53.38837771,60.91745639,55.8425989,54.44143864,62.10003872,54.2423099,53.11566602,59.81970287,57.63209704,60.30803399,57.99807741,69.31770304,77.7517469,78.56773986,80.65674435,83.84702613,83.30482514,85.28970637,87.06989605,87.76461316,89.86949909,90.66947084,88.77105525,91.27579404,92.74812407,93.49669769,94.07425134,93.24652245,93.35652473,93.63436375,92.28695666,92.24068718,91.72303044,89.31023579,89.64410777,87.53179852,88.19067026,88.51486786,88.58321686,88.56837339,88.6322488,88.47245445,88.910973,89.00768667,89.08742691,89.05387423,88.45840647,89.88854788,88.53051062,,
X,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,57.31186274,61.46926678,64.53059991,67.64766837,67.15133545,61.53631885,61.00203598,64.30617763,65.80021372,64.29125475,71.61071118,,73.99055222,77.49413359,79.77128803,83.25798733,83.96693853,83.87878653,85.15410612,87.22584403,88.3793551,90.68101325,,90.50958038,92.69751709,89.68553268,92.91351485,91.91073225,91.18796023,91.33160866,88.28122165,91.90713073,92.70417211,91.68608738,92.78604616,92.79718551,93.53988091,,95.81230186,95.02340671,95.19793515,94.4530527,,,,,,,
X,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,13.04660826,13.68297201,12.721089,12.45126434,15.69587129,19.97005494,19.28183866,17.98332885,17.91852283,20.19584932,18.64081885,,17.88566697,14.33189084,12.64436683,11.03088851,11.84121934,13.60918418,10.44881552,10.09193991,8.360057935,7.229672183,,7.612916658,6.069669416,6.821453964,5.78812281,6.18429964,6.221821768,5.928288427,6.519945228,4.81908048,3.694887123,4.029749227,3.859956293,2.643993367,3.950204791,,2.705992787,3.035674996,3.112666436,3.3870926,,,,,,,
X,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.413602495,4.510452085,5.657771226,4.257609614,3.135364294,5.927304708,5.262147482,5.236197395,3.12492556,3.12492556,3.328238587,2.591969865,2.220446909,2.606819985,3.363310752,3.979020612,2.928492305,4.340794841,2.833518533,2.671971941,2.14484622,2.025554969,2.130068943,1.800888792,1.800888792,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,,,
X,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,113783973.2,160163496,223232129.8,329114740.3,444306661.5,426743112.5,386355522.9,328955787.1,397096866.8,400533157.3,398137608.3,406491922.8,493281809.5,594081190,554490090.7,555160470.1,644371066.9,781586577.2,856647391.8,1192179484,1080483927,1187667471,1166392805,1334637553,1550842739,1440041535,1322643909,1600457419,1854898673,2169207248,2309042771,2872101058,3587775220,3183652519,4121921571,4977722580,5229958472,6193947324,7402334238,7391614350,7600059825,8275137884,9271706691,9333944068,7574219065,10479471320,11786316703,10723572631,11885231110,
X,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,,,,,,,,,,,,,,865600000,860790000,1026150000,719510000,890860000,1186130000,1546170000,2202700000,2202580000,1921520000,1857930000,2196340000,2110650000,2004170000,2205100000,2374820000,2818834224,3122891772,2686098965,3053936036,3343424507,3848801450,5883314145,5873911874,5910143178,6221291292,6886736422,7474709820,7693423890,6972653296,8623932466,10469230208,12575480212,14791096089,17113178478,22297319644,20492005220,25891491862,33794072476,31793003856,34608666811,38252114167,36101387556,37987301080,44248899453,51428560839,51303304301,43053874821,64639175885,79915840407,61311067158,,
